,,経度,緯度,,LAT,LON
01,北海道,141°20′49″,43°03′52″,,43.06444444,141.3469444
02,青森県,140°44′24″,40°49′28,,40.82444444,140.74
03,岩手県,141°09′10,39°42′13,,39.70361111,141.1527778
04,宮城県,140°52′20,38°16′08,,38.26888889,140.8722222
05,秋田県,140°06′09,39°43′07,,39.71861111,140.1025
06,山形県,140°21′48,38°14′26,,38.24055556,140.3633333
07,福島県,140°28′04,37°45′00,,37.75,140.4677778
08,茨城県,140°26′49,36°20′30′′,,36.34166667,140.4469444
09,栃木県,139°53′01,36°33′57,,36.56583333,139.8836111
10,群馬県,139°03′39,36°23′28,,36.39111111,139.0608333
11,埼玉県,139°38′56,35°51′25,,35.85694444,139.6488889
12,千葉県,140°07′23,35°36′16,,35.60444444,140.1230556
13,東京都,139°41′30,35°41′22,,35.68944444,139.6916667
14,神奈川県,139°38′33,35°26′52,,35.44777778,139.6425
15,新潟県,139°01′24,37°54′09,,37.9025,139.0233333
16,富山県,137°12′41,36°41′43,,36.69527778,137.2113889
17,石川県,136°37′32,36°35′41,,36.59472222,136.6255556
18,福井県,136°13′18,36°03′55,,36.06527778,136.2216667
19,山梨県,138°34′06,35°39′50,,35.66388889,138.5683333
20,長野県,138°10′51,36°39′05,,36.65138889,138.1808333
21,岐阜県,136°43′20,35°23′28,,35.39111111,136.7222222
22,静岡県,138°22′59,34°58′37,,34.97694444,138.3830556
23,愛知県,136°54′24,35°10′49,,35.18027778,136.9066667
24,三重県,136°30′31,34°43′49,,34.73027778,136.5086111
25,滋賀県,135°52′06,35°00′16,,35.00444444,135.8683333
26,京都府,135°45′20,35°01′16,,35.02111111,135.7555556
27,大阪府,135°31′12,34°41′11,,34.68638889,135.52
28,兵庫県,135°10′59,34°41′29,,34.69138889,135.1830556
29,奈良県,135°49′58,34°41′07,,34.68527778,135.8327778
30,和歌山県,135°10′03,34°13′34,,34.22611111,135.1675
31,鳥取県,134°14′18,35°30′12,,35.50333333,134.2383333
32,島根県,133°03′02,35°28′20,,35.47222222,133.0505556
33,岡山県,133°56′06,34°39′42,,34.66166667,133.935
34,広島県,132°27′35,34°23′48,,34.39666667,132.4597222
35,山口県,131°28′17,34°11′09,,34.18583333,131.4713889
36,徳島県,134°33′34,34°03′57,,34.06583333,134.5594444
37,香川県,134°02′36,34°20′24,,34.34,134.0433333
38,愛媛県,132°45′58,33°50′30,,33.84166667,132.7661111
39,高知県,133°31′52,33°33′35,,33.55972222,133.5311111
40,福岡県,130°25′05,33°36′23,,33.60638889,130.4180556
41,佐賀県,130°17′57,33°14′58,,33.24944444,130.2991667
42,長崎県,129°52′02,32°45′00,,32.75,129.8672222
43,熊本県,130°44′30,32°47′23,,32.78972222,130.7416667
44,大分県,131°36′45,33°14′17,,33.23805556,131.6125
45,宮崎県,131°25′26,31°54′40,,31.91111111,131.4238889
46,鹿児島県,130°33′29,31°33′37,,31.56027778,130.5580556
47,沖縄県,127°40′51,26°12′45,,26.2125,127.6808333
